Frequency,Measurement,,Frequency,HFSS
,GD (ns),,,GD (ns)
15.625,0.057718521,,15.625,0.137233509
15.65,0.070366062,,15.65,0.137139231
15.675,0.082232738,,15.675,0.137103481
15.7,0.037124282,,15.7,0.137126109
15.725,0.078762574,,15.725,0.137207016
15.75,0.040003359,,15.75,0.13734615
15.775,0.073399903,,15.775,0.137543512
15.8,0.064579668,,15.8,0.137799152
15.825,0.060184691,,15.825,0.138113177
15.85,0.071224083,,15.85,0.138485745
15.875,0.058488428,,15.875,0.138917068
15.9,0.064460674,,15.9,0.139407411
15.925,0.067209042,,15.925,0.139957092
15.95,0.040475038,,15.95,0.140566479
15.975,0.091136373,,15.975,0.141235991
16,0.036598663,,16,0.141966092
16.025,0.126728297,,16.025,0.142757293
16.05,0.072602589,,16.05,0.143610146
16.075,0.111308182,,16.075,0.144525239
16.1,0.099730327,,16.1,0.145503196
16.125,0.080885503,,16.125,0.146544667
16.15,0.118208223,,16.15,0.147650325
16.175,0.109229547,,16.175,0.148820858
16.2,0.118519778,,16.2,0.15005696
16.225,0.117563692,,16.225,0.151359324
